Complexity	Time	Predicted
97261	34	9,35398
946043	51	36,0066
83763	4	8,93013
173445	30	11,7462
1,20135e+06	57	44,0234
868168	27	33,5613
359179	24	17,5785
1,91628e+06	95	66,473
4692	0	6,44722
47367	8	7,78726
511713	19	22,3682
774749	24	30,6278
76695	3	8,70819
1,46864e+06	52	52,4166
215889	10	13,079
679629	47	27,6409
153271	6	11,1128
512144	49	22,3817
153035	18	11,1053
78483	2	8,76433
598488	17	25,093
208006	5	12,8315
9912	0	6,61113
436060	23	19,9926
131929	3	10,4426
1,18257e+06	38	43,4338
262720	9	14,5496
563924	26	24,0077
63878	4	8,30572
173266	8	11,7406
486446	34	21,5748
371807	48	17,975
544337	13	23,3926
276976	28	14,9972
28429	1	7,19259
40538	4	7,57282
4566	1	6,44326
34736	0	7,39063
54068	4	7,99768
48155	1	7,812
33722	5	7,35879
1,44157e+06	37	51,5668
26173	6	7,12175
160121	32	11,3279
168438	10	11,589
242362	12	13,9103
52287	1	7,94175
15858	0	6,79784
148950	40	10,9771
29548	2	7,22772
1,02172e+06	32	38,3829
120878	3	10,0956
830187	28	32,3686
265304	26	14,6307
290856	17	15,4331
1,07153e+06	30	39,947
146398	4	10,8969
88266	11	9,07153
42756	0	7,64247
59652	1	8,17302
568081	15	24,1382
1,33761e+06	35	48,3023
439566	26	20,1027
264326	40	14,6
30122	3	7,24575
319709	8	16,3391
24998	0	7,08485
5107	0	6,46025
790091	39	31,1096
214540	5	13,0367
9055	0	6,58422
1,55714e+06	45	55,1958
534852	26	23,0948
1,58895e+06	61	56,1945
573114	37	24,2963
59025	2	8,15333
21603	0	6,97824
383110	14	18,3299
2,54276e+06	77	86,1451
65973	1	8,37151
780939	23	30,8222
609787	75	25,4478
562604	23	23,9662
30557	1	7,25941
122651	4	10,1513
518250	20	22,5735
220402	6	13,2207
8702	0	6,57314
546343	22	23,4556
427981	12	19,7389
1,2884e+06	44	46,7571
1,95138e+06	57	67,5753
227811	8	13,4534
733075	63	29,3192
310857	9	16,0611
824234	48	32,1817
43962	15	7,68034
34038	0	7,36871
143245	7	10,7979
485699	23	21,5513
183636	15	12,0662
176504	6	11,8423
1,8908e+06	69	65,6729
287694	33	15,3338
133341	4	10,4869
2,00143e+06	69	69,1469
40270	0	7,56441
137659	9	10,6225
191481	7	12,3126
7065	4	6,52173
2,37347e+06	70	80,8293
1,3997e+06	62	50,2519
692746	23	28,0528
122716	6	10,1533
511441	15	22,3597
196907	4	12,483
262777	10	14,5514
290147	9	15,4108
1,97506e+06	61	68,3189
130148	18	10,3867
248510	36	14,1034
124637	14	10,2136
65660	2	8,36168
199852	7	12,5754
112495	4	9,83234
21216	2	6,96609
81780	1	8,86786
140499	7	10,7117
100639	8	9,46005
401595	16	18,9104
25397	2	7,09738
149364	18	10,9901
2944	0	6,39233
232456	12	13,5992
55352	1	8,038
74914	6	8,65226
33153	0	7,34092
271975	13	14,8402
823208	43	32,1495
708142	35	28,5363
84174	8	8,94304
930668	66	35,5238
2,29908e+06	63	78,4932
468971	21	21,0261
141212	5	10,7341
244601	69	13,9806
421004	25	19,5198
106951	2	9,65826
77314	9	8,72763
99019	3	9,40918
321187	17	16,3855
771688	26	30,5317
86521	3	9,01673
1,8878e+06	74	65,5787
34522	1	7,38391
537787	20	23,187
103854	14	9,56101
7308	0	6,52936
49656	2	7,85914
95298	2	9,29234
462828	49	20,8332
1,38629e+06	53	49,8309
414058	19	19,3017
545095	35	23,4164
50603	2	7,88887
957458	37	36,3651
23107	1	7,02547
576038	24	24,3881
503605	14	22,1136
355820	52	17,473
7792	1	6,54456
193234	7	12,3676
166486	9	11,5277
649924	22	26,7082
52127	2	7,93673
52632	22	7,95258
38631	1	7,51294
109092	9	9,72549
237599	14	13,7607
794767	22	31,2564
100808	3	9,46536
127387	7	10,3
65105	11	8,34425
172578	10	11,719
232351	21	13,5959
166616	11	11,5318
62803	2	8,27196
1,57268e+06	73	55,6836
219272	19	13,1853
30146	0	7,2465
274012	12	14,9041
1,04321e+06	38	39,0576
102558	10	9,52031
77110	2	8,72122
156768	5	11,2226
239379	24	13,8166
79095	4	8,78355
258102	10	14,4046
17662	13	6,85449
910526	46	34,8913
28043	16	7,18047
118669	3	10,0262
542360	19	23,3305
122132	3	10,135
308107	18	15,9748
407689	26	19,1017
859038	37	33,2746
206695	7	12,7903
132587	19	10,4633
90523	20	9,1424
458328	26	20,6919
114601	39	9,89848
214250	7	13,0276
8946	0	6,5808
745648	19	29,714
30846	0	7,26848
116117	2	9,94608
464675	38	20,8912
113939	33	9,87769
62262	2	8,25498
378962	10	18,1997
1,3568e+06	36	48,9048
70694	1	8,51975
86454	2	9,01463
633508	20	26,1927
89132	7	9,09872
121426	5	10,1128
847506	32	32,9124
117280	5	9,9826
526043	14	22,8182
50708	4	7,89217
173579	5	11,7504
103125	2	9,53812
129750	10	10,3742
204792	11	12,7306
30140	1	7,24631
56799	1	8,08343
8512	1	6,56717
747168	67	29,7617
343621	9	17,0899
22877	0	7,01825
429924	45	19,7999
591534	33	24,8747
30720	0	7,26453
197709	6	12,5082
582482	61	24,5904
85691	8	8,99067
747419	27	29,7696
17098	0	6,83678
665888	23	27,2095
705898	27	28,4658
893177	44	34,3466
597274	23	25,0549
171694	24	11,6913
127596	15	10,3065
13271	0	6,71661
124819	3	10,2193
